bvets motor noise table 0.01,,,,,,,,,,,,,,,
#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,0,0,0,0,0,0,0,0,0,0,0
3,,,,,0,,,,,,,,,,
5,,,,,0.05,0,,,,,,,,,
8.27,,,,,,,,,,,,,,,0
12,,,,,0,0.025,0,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,0,,,,,,,
19.5,,,,,,,0.2,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,0.2,0,,,,,,0.1
22,,,,,,,,,,,,,,,
24,,,,,,0,0,,,0,,,,,
40,,,,,,,,0,0.6,,,,,,0
50,,,,,,,,,0,0.6,,,,,
50.8,,,,,,,,,,,0,,,,
51,,,,,,,,,,0.6,0.7,,,,
51.2,,,,,,,,,,,,,,,
60,,,,,,,,,,0,,0,,,
80,,,,,,,,,,,0.4,0.5,0,,
100,,,,,,,,,,,0,0,0.3,0,
110,,,,,,,,,,,,,0,0.2,
120,,,,,,,,,,,,,,0.1,
160,,,,,0,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,,,,,,
0,0,0,0,0,,,,,0,,,,,,
5,0.1,0,,,,,,,,,,,,,
10,0,0.2,,,,,,,,,,,,,
20,,0.2,0,,,,,,,,,,,,
30,,0,0.3,,,,,,,,,,,,
40,,,0.3,0,,,,,,,,,,,
51,,,0,0.4,,,,,,,,,,,
51.2,0,0,,0,,,,,0,,,,,,
